timestamp,switch,dpid,in_port,src_mac,dst_mac,src_ip,dst_ip,protocole,src_port,dst_port,taille_paquet,label,
2026-05-25 23:11:35,OVS-1_Core,257354300580419,1,08:00:27:d3:7e:50,33:33:00:00:00:fb,2001:4278:19:e9cd::10,ff02::fb,UDP,5353,5353,107,0,
2026-05-25 23:11:35,OVS-3_Switch,174256918948943,4,08:00:27:d3:7e:50,33:33:00:00:00:fb,2001:4278:19:e9cd::10,ff02::fb,UDP,5353,5353,107,0,
2026-05-25 23:11:35,OVS-2_Switch,218158957599049,19,08:00:27:d3:7e:50,33:33:00:00:00:fb,2001:4278:19:e9cd::10,ff02::fb,UDP,5353,5353,107,0,
2026-05-25 23:11:42,OVS-1_Core,257354300580419,1,08:00:27:d3:7e:50,33:33:00:00:00:fb,2001:4278:19:e9cd::10,ff02::fb,UDP,5353,5353,101,0,
2026-05-25 23:11:42,Routeur_TAYGA,8796747895161,2,08:00:27:d3:7e:50,33:33:00:00:00:fb,2001:4278:19:e9cd::10,ff02::fb,UDP,5353,5353,101,0,
2026-05-25 23:11:42,OVS-3_Switch,174256918948943,4,08:00:27:d3:7e:50,33:33:00:00:00:fb,2001:4278:19:e9cd::10,ff02::fb,UDP,5353,5353,101,0,
2026-05-25 23:11:42,OVS-2_Switch,218158957599049,19,08:00:27:d3:7e:50,33:33:00:00:00:fb,2001:4278:19:e9cd::10,ff02::fb,UDP,5353,5353,101,0,
2026-05-25 23:13:43,OVS-1_Core,257354300580419,1,08:00:27:d3:7e:50,33:33:00:00:00:fb,2001:4278:19:e9cd::10,ff02::fb,UDP,5353,5353,107,0,
2026-05-25 23:13:43,OVS-3_Switch,174256918948943,4,08:00:27:d3:7e:50,33:33:00:00:00:fb,2001:4278:19:e9cd::10,ff02::fb,UDP,5353,5353,107,0,
2026-05-25 23:13:43,Routeur_TAYGA,8796747895161,2,08:00:27:d3:7e:50,33:33:00:00:00:fb,2001:4278:19:e9cd::10,ff02::fb,UDP,5353,5353,107,0,
2026-05-25 23:13:43,OVS-2_Switch,218158957599049,19,08:00:27:d3:7e:50,33:33:00:00:00:fb,2001:4278:19:e9cd::10,ff02::fb,UDP,5353,5353,107,0,
2026-05-25 23:17:59,OVS-1_Core,257354300580419,1,08:00:27:d3:7e:50,33:33:00:00:00:fb,2001:4278:19:e9cd::10,ff02::fb,UDP,5353,5353,107,0,
2026-05-25 23:17:59,Routeur_TAYGA,8796747895161,2,08:00:27:d3:7e:50,33:33:00:00:00:fb,2001:4278:19:e9cd::10,ff02::fb,UDP,5353,5353,107,0,
2026-05-25 23:17:59,OVS-3_Switch,174256918948943,4,08:00:27:d3:7e:50,33:33:00:00:00:fb,2001:4278:19:e9cd::10,ff02::fb,UDP,5353,5353,107,0,
2026-05-25 23:17:59,OVS-2_Switch,218158957599049,19,08:00:27:d3:7e:50,33:33:00:00:00:fb,2001:4278:19:e9cd::10,ff02::fb,UDP,5353,5353,107,0,
2026-05-25 23:18:46,Routeur_TAYGA,8796747895161,4294967294,08:00:27:08:91:79,33:33:00:00:00:fb,2001:4278:19:e9cd::253,ff02::fb,UDP,5353,5353,107,0,
2026-05-25 23:18:46,OVS-1_Core,257354300580419,2,08:00:27:08:91:79,33:33:00:00:00:fb,2001:4278:19:e9cd::253,ff02::fb,UDP,5353,5353,107,0,
2026-05-25 23:18:46,OVS-3_Switch,174256918948943,4,08:00:27:08:91:79,33:33:00:00:00:fb,2001:4278:19:e9cd::253,ff02::fb,UDP,5353,5353,107,0,
2026-05-25 23:18:46,OVS-2_Switch,218158957599049,19,08:00:27:08:91:79,33:33:00:00:00:fb,2001:4278:19:e9cd::253,ff02::fb,UDP,5353,5353,107,0,
2026-05-25 23:25:25,OVS-3_Switch,174256918948943,1,08:00:27:5c:f8:ab,33:33:00:00:00:fb,2001:4278:19:e9cd::20,ff02::fb,UDP,5353,5353,107,0,
2026-05-25 23:25:25,OVS-1_Core,257354300580419,4,08:00:27:5c:f8:ab,33:33:00:00:00:fb,2001:4278:19:e9cd::20,ff02::fb,UDP,5353,5353,107,0,
2026-05-25 23:25:25,Routeur_TAYGA,8796747895161,2,08:00:27:5c:f8:ab,33:33:00:00:00:fb,2001:4278:19:e9cd::20,ff02::fb,UDP,5353,5353,107,0,
2026-05-25 23:25:25,OVS-2_Switch,218158957599049,19,08:00:27:5c:f8:ab,33:33:00:00:00:fb,2001:4278:19:e9cd::20,ff02::fb,UDP,5353,5353,107,0,
2026-05-25 23:25:47,OVS-2_Switch,218158957599049,1,08:00:27:a1:fb:cd,33:33:00:00:00:fb,2001:4278:19:e9cd::30,ff02::fb,UDP,5353,5353,107,0,
2026-05-25 23:25:47,OVS-1_Core,257354300580419,3,08:00:27:a1:fb:cd,33:33:00:00:00:fb,2001:4278:19:e9cd::30,ff02::fb,UDP,5353,5353,107,0,
